timestamp;mode;seq;payload_tx_hex;payload_rx_hex;match;attempts;timeout;retries;rssi;snr;rtt_ms;freq_tx_hz;freq_rx_hz;port;baudrate
2025-12-12 08:15:33;TX;0;0100000050840000000000000000FF11400216;20000000419C0000000101000100;0;2;5.0;2;-31.0;6.0;5602.2;903000000;904000000;COM6;115200
2025-12-12 08:16:00;TX;1;0100000050840000000000000000FF11400216;20000000419C0000000101000100;0;1;10.0;2;-30.0;6.0;5660.8;903000000;904000000;COM6;115200
2025-12-12 08:16:12;TX;2;0100000050840000000000000000FF11400216;20000000419C0000000101000100;0;1;10.0;2;-34.0;6.0;5709.1;903000000;904000000;COM6;115200
2025-12-12 08:16:21;TX;3;0100000050840000000000000000FF11400216;20000000419C0000000101000100;0;1;10.0;2;-31.0;7.0;5611.1;903000000;904000000;COM6;115200
